순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사,줄거리,장르
315,미피의 동물원 보물찾기,2014-03-27,20782000,0.0,3102,5.0,네덜란드,네덜란드,(주)케이티알파,"미피와 함께 숨겨진 동물들을 찾아보아요!

미피와 친구인 멜라니, 그런티는 미피의 엄마 아빠와 함께 동물원에 놀러간다.
동물원에서 엄마 아빠가 내주는 찾기놀이를 하며 다양한 동물들을 만나는 미피와 친구들.
다섯 가지 동물들을 모두 찾은 친구들에게 주어지는 보물과 또 다른 깜짝 선물은 과연 무엇일까?",애니메이션
316,해피엔딩 프로젝트,2014-02-20,20429500,0.0,3073,16.0,캐나다,캐나다,(주)에스와이코마드,"우리는 여전히 뜨겁게 살아간다.
사랑하는 아내를 위해 집을 짓겠어! 하지만 현실의 벽은 높기만 한데…
89세 ‘크레이그 모리슨’은 평생 해로한 아내 ‘아이린’이 알츠하이머에 걸리자 그녀를 위해 직접 맞춤형 새 집을 지어주기로 결심한다. ‘크레이그’의 ‘집 짓기 프로젝트’가 한창일 즈음, 시청 건축과에서는 자재부터 건축방식까지 허가를 받아야 한다며 사사건건 참견을 한다. 내 땅에서 내가 사랑하는 아내를 위해 집을 짓겠다는데 무엇이 문제냐는 ‘크레이그 모리슨’은 점점 더 악화되는 아내를 위해 집짓기를 강행하고, 결국 구속될 위기에 처한다.",드라마
317,히트맨 NO.2 : 살인면허,2014-05-08,10083000,0.0,3067,21.0,영국,영국,스크린조이,"타고난 킬러로 불린 남자, 살인청부업자 빅터!
그와의 위험한 인터뷰가 시작된다!

사비에르는 빅터를 인터뷰하게 되고, 빅터는 불우한 유년 시절의 이야기부터 현재까지 자신의 이야기를 털어놓는다. 빅터는 빚에 쫓기는 아버지와 아버지에게 학대당하는 어머니를 보며 우울한 어린 시절을 보낸다. 아버지에게 빚 독촉을 했던 세르게이를 찾아가 조직에서 일하게 해달라고 요구하는 빅터. 어리지만 살기 있는 눈빛을 본 세르게이는 빅터를 받아주고 빅터는 세르게이 밑에서 살인 청부업자가 되기 위한 교육을 받으며 킬러로 키워진다. 무자비한 살인 청부업자가 된
빅터는 자신을 죽이려는 세르게이를 살해하게 되고 루마니아를 떠나 영국으로 가서 또 다른 조직에서 살인을 시작한다. 어느 날 빅터는 우연히 만난 베네스다와 사랑에 빠지고 그녀가 임신한 사실을 알게 되고 혼란스러워 한다. 사비에르와 빅터의 인터뷰가 끝나갈 무렵, 베네스다가 찾아온는데..","스릴러,액션"
318,진저 앤 로사,2014-05-15,21761500,0.0,3021,17.0,영국,영국,그린나래미디어(주),"“우리는 평생, 단짝친구로 지낼 거란 꿈을 꾸었다.”
전쟁 직후 격변하는 사회가 흔들어버린 두 소녀의 우정
행복한 유년을 보내며 평생의 우정을 꿈꾸던 소녀, 진저와 로사.

영국 내에서 핵무비 반대 시위가 일고 미국과 쿠바 사이의 긴장이 계속되면서 십대가 된 진저와 로사는 혼란을 겪는다. 격변하는 사회와 무너져가는 가족.. 자신의 삶을 지키기 위해 진저는 핵무기 반대 운동에 뛰어들고 로사는 산산조각 난 가족들을 대신해 다른 사람들을 만나며 서로 다른 곳에서 해방구를 찾지만 결국, 둘의 관계는 조금씩 멀어져만 가는데...


*2012 토론토국제영화제 공식 초청
*2012 런던국제영화제 최우수작품상 노미네이트
*2012 BIFA 노미네이트
*2012 탈린 블랙나이트 영화제 특별언급상 수상
*2012 Valladolid International Film Festival Best Actress 수상
*2013 Santa Barbara International Film Fetstival Virtuoso Award 수상
*2013 서울국제여성영화제 개막작",드라마
319,케이트 맥콜,2014-05-22,23062500,0.0,3014,24.0,미국,미국,와이드 릴리즈(주),"타협하기엔 너무 정직한, 포기하기엔 너무 고집 센 그녀, 케이트 맥콜!
차가운 법정과도 같은 세상에서 변호사로서 엄마로서 살아간다는 건?

케이트 맥콜(케이트 베킨세일)은 유능한 변호사지만 불행한 결혼생활에 지쳐 예민해진 탓에 직장에서도 신뢰를 잃은 상태다. 딸의 양육권까지 걸려있기에 새로 맡은 사건은 반드시 승소할 다짐을 하고 여느 때보다 열심히 매달린다. 협박의 위험을 무릅쓰며 피의자의 누명을 벗기는데 성공한 케이트. 그러나 누구도 예상치 못한 충격적인 반전이 숨어 있는데…타협하기엔 너무 정직하고, 포기하기엔 너무 고집 센 그녀의 선택은?","스릴러,드라마"
320,내일을 위한 시간,2015-01-01,24470100,0.0,2999,44.0,벨기에,"벨기에,프랑스,이탈리아",그린나래미디어(주),"되찾을 수 있을까? ‘내일’을 위한 그녀의 시간이 흐른다.

복직을 앞둔 ‘산드라’에게 한 통의 전화가 걸려온다. 회사 동료들이 그녀와 일하는 대신 보너스를 받기로 했다는 것. 하지만 투표가 공정하지 않았다는 제보 덕분에 월요일 아침 재투표가 결정된다. 일자리를 되찾고 싶은 산드라는 주말 동안 16명의 동료를 찾아가 설득하려 하지만 보너스를 포기하고 자신을 선택해 달라는 말은 어렵기만 하다. 각자의 사정이 있는 동료들. 마음을 바꿔 그녀를 지지해주는 동료도 나타나지만 그렇지 않은 쪽의 반발도 거세지는데…
과연 산드라는 ‘내일’을 다시 찾을 수 있을까?
그녀의 인생에서 가장 긴 두 번의 낮과 한 번의 밤이 흐른다.",드라마
321,제인 구달,2014-11-27,22602000,0.0,2998,29.0,독일,독일,오드,"침팬지의 친구이자 전세계 스타들의 롤모델,
역사상 가장 영향력 있는 여성 ‘제인 구달’

20여 년 전 돌연 자신의 모든 업적과 개인적인 삶을 포기하고
지구 환경보호에 뛰어든 그녀의 열정과 용기,
그리고 그녀를 지지하는 이들이 들려주는 가슴 뜨거운 이야기…

당신의 삶을 변화시킬 놀라운 이야기가 펼쳐진다!",다큐멘터리
322,우주로봇 씨어,2015-03-12,16940000,0.0,2943,185.0,중국,중국,"(주)마인스 엔터테인먼트,(유)영화사 화수분","팬텀 행성의 왕, 마일스를 구하라!
우주탐험대 씨어와 함께 떠나는 스페이스 어드벤처!
우주전체의 힘을 통제하는 팬텀 행성의 왕 마일스가 납치됐다!
무시무시한 우주해적들은 마일스를 납치해 우주정복의 속셈을 드러내는데...

마일스의 아들 몬타는 아빠가 납치되기 전 자신에게
건네준 수정 목걸이에 이끌려 무적의 우주로봇 씨어들이 있는 씨어호로 가게 된다!

이들은 힘을 합쳐 우주해적들을 찾기 위한 여정을 떠나게 되는데...
과연 무사히 아빠를 찾아 우주를 구해낼 수 있을까?

상상초월! 짜릿한 우주탐험이 시작된다!",애니메이션
323,꼬마마녀 요요와 네네,2013-12-25,18824000,0.0,2911,90.0,일본,일본,"㈜T-JOY,씨너스엔터테인먼트(주)","마법세계와 인간세상에 일어난 사상 최대의 위기!
요요와 네네가 사건해결에 실패하면 이제 세상은 무너진다!!
마법세계에서 마법 해결 사무소를 운영하는 자매 ‘요요’와 ‘네네’.
어느 날 마법세계에 건물들이 붙어있는 커다란 나무가 나타난다. 요요는 나무 속의 건물들을 조사하다가 알 수 없는 마법진에 빨려 들어가며 인간세상에 도착하게 된다. 요요는 인간세상에서 사람들이 몬스터로 변하고 빌딩들이 사라지는 것을 목격하게 되는데! 부모님이 몬스터로 변해버린 소년 ‘다카’가 요요에게 이 사건을 의뢰하고 이를 받아들인 요요는 마법세계로 돌아가 조사하려 하지만, 마력이 약해진 요요는 마법세계로 돌아갈 수 없다는 것을 깨닫는다. 결국 인간세상의 요요는 마법세계의 네네의 도움을 받아 사건을 해결하기로 한다.

한편 마법세계에 나타난 나무에는 인간세상에서 사라진 빌딩들이 계속 붙어만 가고 크기는 거대해진다. 마법세계의 지도자 ‘요네’는 이것을 마법세계에 대한 인간세상의 도전이라 여기고 전쟁을 선포한다. 대체 마법세계와 인간세상에 무슨 일이 일어나고 있는 것일까?

과연 마법해결사 요요와 네네는 의뢰 받은 사건을 해결하고 동시에 인간세상과 마법세계에서 벌어질 끔찍한 전쟁을 막아낼 수 있을까?",애니메이션
324,우리가 들려줄 이야기,2014-03-13,21933400,0.0,2847,3.0,캐나다,캐나다,(주)영화사 조제,"모든 걸 알 순 없었던 내 어머니에 대해 우리가 들려줄 이야기
사라 폴리는 돌아가신 어머니 다이앤에 대해 그들이 알고 있는 모든 걸 얘기해달라며 아버지 마이클 폴리와 가족들을 카메라 앞으로 초대한다. 그들이 기억하는 다이앤은 밝고 생기 넘치는 사람이었으며 자유분방하고 개성 강한 배우였다. 몇 번의 결혼 실패 후 운명의 상대 마이클을 만나게 되고, 고요히 침잠하는 물과 타오르는 불처럼 서로 정반대의 성격이던 두 사람은 42살의 늦은 나이에 사라 폴리를 낳는다. 그리고 어느 때부턴가 사라가 아버지를 닮지 않았다는 우스개 소리가 가족의 비밀처럼 자리잡게 된다. 다큐멘터리를 만들고 주변사람들을 인터뷰하면서 탐정처럼 자신이 모으게 된 모든 조각들을 펼쳐 보이던 그녀는 어느덧 자신의 출생의 비밀을 둘러싼 진실에 다다르게 되는데..",다큐멘터리
325,미이라 : 피라미드의 비밀,2014-07-31,8666000,0.0,2797,20.0,미국,"미국,독일",(주)소나무픽쳐스,"오천 년을 기다려온 거대한 스펙터클 어드벤쳐!
파라오가 깨어난 순간 세상이 위험에 빠진다!
이집트 사막에서 새로운 피라미드가 발견됐다는 소식에 전세계의 고고학자들의 이목이 집중된다. 미국의 떠오르는 신예 고고학자 찰벳은 피라미드의 비밀을 파헤치기 위해 이집트로 떠난다. 그곳에서 찰벳은 오천 년 전 파라오가 지구를 정복하기 위해 남겨놓은 비밀 코드를 발견한다. 과연 찰벳과 동료들은 죽음의 함정들과 고대 괴물들을 물리치고 파라오의 저주 속에서 인류를 구해낼 수 있을까?","액션,어드벤처,공포(호러)"
326,미 앤 유,2014-02-27,20864900,0.0,2780,15.0,이탈리아,이탈리아,오드,"이 시대의 거장이 만든 아주 특별한 음악 성장 영화!

“사랑하는 나의 동생, 널 위로해줄게.”

혼자가 편한 14살 소년 로렌조는 스키캠프 기간 동안 비밀 아지트에 숨어 지낼 계획을 세운다. 7일 간 필요한 식량부터 책과 음악까지 모든 걸 치밀하게 준비한 첫날, 하지만 계획에 없던 이복누나 올리비아가 찾아오면서 로렌조의 휴가는 위기를 맞는다.
일주일 동안 함께 지내게 된 올리비아와 로렌조, 자유롭고 예술적인 성향이 매력적인 올리비아와의 특별한 동거는 자신만의 세상에 갇혀 있던 로렌조를 조금씩 변화시키는데…",드라마
327,백설공주의 마지막 키스,2014-05-01,22537400,0.0,2770,10.0,스페인,"스페인,프랑스,벨기에",㈜영화사 백두대간,"그녀의 재능은 천재 투우사, 그러나 그녀의 운명은 독이 든 사과…
옛날 옛적에 세빌리아에서 유명한 투우사 아빠와 아름다운 플라멩코 무용수 엄마 사이에서 태어난 카르멘. 카르멘이 세상에 태어나던 날, 아빠는 투우 경기 중 끔찍한 사고를 당해 전신마비가 되고, 충격을 받은 엄마는 카르멘을 낳다가 숨을 거둔다. 사악한 새엄마 밑에서 온갖 구박을 받으며 자라던 카르멘은 새엄마 몰래 아빠를 만나면서 투우 기술을 배우며 행복한 시간을 보내지만, 그것도 잠시뿐…
아빠마저 세상을 떠난 어느 날, 새엄마의 음모로 숲 속에서 목숨을 잃을 뻔한 카르멘은 기억을 잃고 만다. 그녀를 구해준 난쟁이 투우사들과 함께 ‘백설공주와 일곱 투우사’라는 유랑극단 공연을 하며 명성을 얻은 카르멘은 고향 세빌리아의 대형 투우장에 서게 되고, 그곳에서는 거대한 황소와 새엄마의 독사과가 그녀를 기다리는데…",드라마
328,언더 더 스킨,2014-07-17,14167000,0.0,2750,20.0,영국,영국,씨네그루(주)다우기술,"검은 머리, 검은 눈동자, 빨간 입술.
미녀의 탈을 쓴 외계인 ‘로라’
길거리의 남자들을 유혹하다.

식량이 떨어진 외계행성에서 지구로 보내진 에일리언이 ‘로라’라는 아름다운 지구의 여인의 몸 속으로 들어간다. 식량으로 사용될 수 있는 생물체를 찾던 ‘로라’는 트럭을 몰고 스코틀랜드의 거리를 여행하면서 외로운 남자들을 유혹하며 죽음에 이르게 한다. 점점 더 많은 남자들과 접촉하던 로라는 다정한 한 남자를 만나 사랑 받는 여자의 기분을 느끼고 혼란스러워 하는데...","SF,드라마"
329,토미카 무비,2014-12-11,17586000,0.0,2719,33.0,일본,일본,(주)머스트씨무비릴리징컴퍼니,"토미카 월드로 떠나는 환상의 어드벤처!

<어서와요! 토미카 프라레일 마을>
자동차와 기차, 사람들이 즐겁게 어울려 사는 ‘토미카 프라레일 마을’.
오늘은 1년에 단 한번 음악축제가 열리는 날.
리듬 아저씨가 만든 음악축제의 테마송을 완성시키기 위해서는 토미카 프라레일을 아끼고 사랑하는 친구의 힘이 필요하대요. 그래서 ‘토미’와 ‘레일’은 마을을 떠나 토미카 프라레일을 아주 좋아하는 소년 건우를 찾아가서 도움을 청하게 되고, 토미와 레일과 함께 건우는 토미카 프라레일 마을로 대모험을 떠나기로 결심해요. 건우와 친구들은 많은 위기를 이겨내고 무사히 테마송을 완성시킬 수 있을까요?!

<폭주!토미카이저 슈퍼토미카이저VS슈퍼레일카이저>
토미카와 프라레일의 최신기술이 집결된 거대도시인 뉴 토미카 프라레일 도시.
토미카와 프라레일을 모조리 빼앗으려고 음모를 꾸미는 우주 최고 무법자 ‘배드블랙’으로부터 마을의 평화를 지키기 위해, 이 마을의 히어로 ‘슈퍼 레일카이저’와 우리들의 히어로 ‘슈퍼 토미카이저’가 힘을 합치는데, 이들은 ‘배드블랙’으로부터 뉴 토미카 프라레일 도시를 지켜낼 수 있을까요?

<토미카 하이퍼 팀! 불꽃 공동 작전!>
지구 전체의 에너지의 운명을 좌우하는 ‘하이퍼 에너지’를 둘러싸고 지구수비대 ‘하이퍼 레인저’는 ‘닥터 악당’에 맞서 싸워 물리치지만, 기쁨도 잠시 사상 초유의 예측 불가능한 대재해로 다시 한번 혼란에 빠지게 되요. 하이퍼 그린 레인저는 ‘열정대원’, ‘소망대원’, ‘세찬대원’에게 도움을 요청하고 최강히어로 드림팀이 함께 모여 공동작전을 시작하는데…",애니메이션
330,샤크어택,2014-09-04,7885000,0.0,2664,20.0,캐나다,캐나다,(주)소나무픽쳐스,"웨이드와 메디슨은 커플로 봄 방학 기간을 맞아 리조트에 놀러온다.
한창 특수 시즌인 리조트는 많은 행사와 파티가 열리고 있다. 그러나 파티가 무르익어 갈수록 실종되는 사람들이 늘어가고 웨이드의 동생과 캐롤의 일행 역시 갑자기 사라져 버렸다.
웨이드와 캐롤은 보안관과 순찰대에 찾아달라고 부탁하지만 아무도 귀담아 듣지 않는다.
결국 직접 찾아 나선 웨이드와 메디슨, 그리고 캐롤은 갑자기 튀어나온 상어가 사람을 잡아먹는 장면을 목격하게 되는데... 과연, 이들은 식인 상어로부터 무사히 살아남을 수 있을까!?","액션,공포(호러),SF"
331,깨끗하고 연약한,2014-10-30,18232600,0.0,2661,12.0,일본,일본,(유)영화사 화수분,"잊지 못할 그 날의 기억…!
사랑을 잃은 후, 다시 사랑할 수 있을까..?

16세 여름, 자신의 소꿉친구 ‘하루타’의 갑작스런 죽음에 깊은 상실감을 갖게 된 ‘칸나’.
8년 후, 여전히 마음 속 깊은 곳에 아물지 않은 상처가 있는 ‘칸나’는 어느 날 우연히 자신과 비슷한 슬픔을 가진 ‘로쿠’를 만난다. 시간이 흐른 뒤에도 지울 수 없는 상처를 간직한 그들은 자신과 닮은 서로를 차츰 알아가며 그 날의 아픈 기억과 마주하게 되는데..

이 두 사람은 서로의 과거를 치유하고 새로운 사랑을 시작할 수 있을까?","멜로/로맨스,드라마"
332,마술피리,2014-08-02,40326500,0.0,2658,5.0,독일,독일,(주)쓰리캣프로덕션,"큰 뱀에 쫓기던 이집트의 왕자 타미노는 밤의 여왕의 시녀들의 도움으로 위험에서 벗어난다. 밤의 여왕에게 폭군인 자라스트로가 그녀의 딸 파미나를 납치해갔다는 사실을 전해 듣고 파미나를 구출하기로 결심한다. 이때 여왕이 타미노에게는 맹수도 잠재울 수 있는 마술피리를, 동행자인 새잡이 파파게노에게는 영롱한 소리가 나는 요술종을 건넨다. 그리고 여왕은 밤 중에 파미나를 찾아가 단도를 건네주며 자라스트로를 죽이라고 살인을 교사하지만 실패로 돌아가고, 타미노는 자라스트로가 의로운 철학자라는 사실을 알게 된다. 타미노는 그 일원이 되기 위해 수련을 시작하지만 그가 침묵 수행의 시련을 받고 있을 때 등장한 파미나는 말을 하지 않는 타미노의 모습에 버림받았다고 오해를 하게 되고, 결국 자살을 시도하는데…",공연
333,웨이스트 랜드,2014-04-03,18988000,0.0,2656,13.0,브라질,"브라질,영국",(주)나이너스엔터테인먼트,"꿈이 있는 삶이 모든 걸 가진 삶보다 낫다!
브라질 리우데자네이루 외곽에 위치한 ‘자르딤 그라마초’에는 세계 최대 규모의 쓰레기 매립지가 있다.
이 거대한 쓰레기 더미에서 재활용 쓰레기를 주워 생계를 유지하는 사람들을 ‘카타도르’라 부른다.
타인의 눈에는 비참한 인생으로 보이지만 이들은 지독한 역경 속에서도 정직한 노동으로 살아간다는 자부심과 언젠가는 이 곳을 벗어날 수 있을 것이라는 꿈과 희망으로 하루하루를 살아나간다.

예술이 사람을 바꾸는 경험을 선사하고 싶었어요.
하지만 가능한 일일까요? 변화를 일굴 수 있을까요?
브라질 출신으로 미국 뉴욕에서 활동 중인 세계적인 사진 작가 ‘빅 무니즈’는 ‘카타도르’들이 수거한 쓰레기를 재료로 삼아, 이들이 모델로 등장하는 작품 제작을 기획한다. 예술과 인문학적 가치를 만들어내고, 하루 하루 힘겹게 살아가는 카타도르에게 변화를 주기 위해 빅 무니즈는 2년간 카타도르와 함께 생활하고 소통하면서 재활용 쓰레기를 활용해 카타도르의 초상이 담긴 작품을 만들기 시작한다.
‘빅 무니즈’와 함께 생전 처음으로 예술 작업을 하게 된 ‘카타도르’들은 작업이 진행될수록 쓰레기 속에 묻어 두었던 꿈과 희망, 그리고 인간의 존엄성을 되찾게 된다. 그리고 이들의 협업으로 탄생된 쓰레기 아트(Junk Art)는 환상적인 예술 작품이란 평가를 받으며 전세계적인 히트를 기록하게 된다.",다큐멘터리
334,온 더 로드,2014-03-27,20155500,0.0,2622,11.0,미국,"미국,프랑스,영국",하준사,"자유로운 영혼을 지닌 젊은 작가 샐 파라다이스. 아버지의 죽음 후 힘든 시간을 보내던 그는 태양 같은 정열을 지닌 청년 딘 모리아티와 그의 매력적 연인 메리루를 만난 후 뉴욕에서 미국 서부로 향하는 여행을 계획한다. 네 차례에 걸쳐 덴버, 샌프란시스코, 텍사스, 멕시코시티에 이르기까지 광활한 미 대륙을 횡단하며 그들은 길 위의 삶에 도취되는데….","어드벤처,드라마"
335,엘로이즈: 그녀들의 사랑,2014-02-06,2600000,0.0,2610,5.0,스페인,스페인,스크린조이,"아지아는 주변의 따가운 시선에도 아랑곳하지 않는 엘로이즈의 당찬 모습에 눈길이 간다. 학교 게시판에서 미술 모델 광고를 보고 찾아간 곳에서 또다시 엘로이즈와 마주친 이후, 둘은 자연스레 친해진다. 우정이라 여겼던 감정이 사랑임을 깨닫게 된 아지아는 그 감정을 감당하지 못하고 엘로이즈를 멀리하려 하지만, 한번 싹튼 감정은 쉬이 가라앉지 않는다. 결국 용기를 내어 엘로이즈와 함께하지만 주변의 시선은 곱지 않기만 한데...",드라마
336,태극권 2014 : 어전시위,2014-10-02,8122000,0.0,2579,21.0,중국,중국,(주)소나무픽쳐스,"건륭 중기, 지방관원의 부패가 만연한데다 천재까지 겹쳐 백성들은 도탄에 빠진다. 이에 건륭황제는 민정을 살피기 위해 측근들을 데리고 미복순시에 나선다. 승방 현령 이만창에 관한 상소를 받고 그곳으로 향한 황제 일행은, 반청복명을 꾀하던 천지회의 습격을 받지만 어전시위 설수영의 활약으로 다행히 위기를 넘긴다.
하지만 천지회는 계속해서 건륭의 암살을 시도하고, 일본인들까지 건륭을 암살하기 위해 마수를 뻗는다",액션
337,대공습,2014-09-25,7498000,0.0,2572,20.0,노르웨이,노르웨이,(주)소나무픽쳐스,"2차 세계대전이 한창인 1940년, 혹독한 겨울의 추위 속에서 영국군과 독일군은 팽팽한 접전을 치르고 있다. 땅에서는 독일군과 영국군의 목숨을 건 총격전이, 하늘에서는 독일 폭격기와 영국 전투기의 항공전투가 벌어지는 숨막히는 상황. 눈보라가 몰아치는 이곳에서 이제 극한의 전쟁이 시작된다!","전쟁,액션,드라마"
338,플러스 원,2014-09-25,19587100,0.0,2569,35.0,미국,미국,(주)팝엔터테인먼트,"이것이 어떻게 시작되었는지는 아무도 모른다.

의문의 신호와 함께 하나의 공간 속 과거의 나와 현재의 내가 만났다.
과거의 내가 시간을 추격하고, 현재의 나와 그 간격은 점차 줄어들고 있다.
숨을 수도 없다. 곧 그들이 내가 숨은 장소로 워프해 올 것이기 때문이다.
과거가 현재로 현재가 과거로, 나와 내가 뒤바뀔 수도 있는 순간!
운명을 선택해야 할 시간이 다가온다!",스릴러
339,메가 스파이더,2014-09-12,8065000,0.0,2519,21.0,미국,미국,(주)소나무픽쳐스,"美 군사 연구소에서 비밀리에 진행되던 외계인과 거미의 유전자 변형 실험 중 돌연변이 괴물 거미가 탄생한다. 그런데 어느 날, 괴물 거미가 연구소를 탈출, 로스앤젤레스를 모조리 파괴하기 시작한다. 이 괴물 거미를 막기 위해 정부는 비상사태를 선포하고 특수요원과 무장한 군대를 출동시키지만 아무 소용이 없다. 대형 거미의 무차별적인 지구 공격에 맞서기 위해 美 국방부는 마지막 선택으로 해충 전문가 알렉스를 소환한다. 이제 인류의 생존이 그의 손에 달렸다!","코미디,SF"
340,아워즈,2014-04-16,13626700,0.0,2492,29.0,미국,미국,(주)박수엔터테인먼트,"Mission1: 사상 최악의 허리케인에 맞서 딸을 구해라!
거대한 허리케인 카타리나가 미국을 강타했다. 의료진도 떠나고 전기마저 끊긴 비상 사태! 놀런(폴 워커)은 인공호흡기가 필요한 딸 때문에 피난을 가지 못하고 고립된다.

Mission2: 주어진 시간은 단 3분! 멈추면 죽는다!
인공호흡기를 수동발전기로 돌리면 단 3분밖에 충전되지 않는다. 3분의 시간 동안 놀런은 구조팀에게 연락을 하고, 딸의 약을 구해오고, 목숨을 위협하는 범죄자들까지 물리쳐야 한다!","드라마,스릴러"
341,해커스,2014-10-01,7646000,0.0,2479,20.0,프랑스,프랑스,(주)소나무픽쳐스,"대선을 앞둔 어느 날, 프랑스 기차역에서 폭탄 테러가 일어난다. 범인들의 모습이 담긴 CCTV영상이 없다는 경찰의 발표가 나고 정부는 테러 사건의 용의자로 이슬람 단체 알만샤를 지목한다. 그러던 중 cctv를 자유자재로 다룰 수 있는 해커가 사건 현장의 cctv 화면을 얻게 된다. 경찰에 의지하지 않고 그것을 바탕으로 범인을 찾아가는 과정에서, 표면에 있던 범인은 심부름꾼일 뿐이었고 그 배후에 지지율을 높이려는 정부의 음모가 있다는 사실을 알게 된 해커는 자신이 해킹한 진범의 영상과 대화록을 인터넷 상에 올려 모두에게 진실을 밝힌다.",스릴러
342,브레이킹,2014-08-21,12002000,0.0,2474,20.0,미국,미국,(주)에이블엔터테인먼트,"잔인한 복수가 시작된다!
임신한 비앙카와 그녀의 남편 이안이 산부인과를 찾아가면서 시작된다. 비앙카는 환청과 두려움이 있어 리튬을 복용하고 있었지만 아이에게 해가 될까봐 두려워 리튬약을 먹는 것을 중단한다. 하지만 이전부터 그녀의 곁을 맴돌던 검은 머리의 여자가 계속해서 나타나자 비앙카는 점점 두려움을 느끼면서 남편 이안의 품에서 안정을 찾는다. 그러던 어느 날, 뉴스를 보던 비앙카는 자신을 따라다니던 여자가 사라라는 이름을 가졌으며, 실종되었다는 사실을 알게 된다. 어째서 자신을 따라다니는지 알고 싶었던 비앙카는 사라가 살던 집을 찾아가게 되고 그 곳에서 숨겨진 사실을 알게 되는데…","액션,스릴러,공포(호러)"
343,로크,2014-06-26,17832000,0.0,2412,36.0,미국,"미국,영국",(주)팝엔터테인먼트,"영혼을 흔드는 한 통의 전화, 인생에 잊을 수 없는 순간이 시작된다!
성공적인 삶을 살아가던 건설현장 감독 ‘로크’는 사회생활에서 가장 큰 프로젝트를 앞둔 전날 밤 차를 몰던 중, 그는 가족과 직장 그리고 영혼까지 통째로 흔들어버릴 한 통의 전화를 받게 된다. 혼자뿐인 차 안에서 한 통의 전화로 시작된 숨 막히는 사건과 갈등, 그 가운데 유일한 희망은 휴대전화뿐이다. 화목한 가정과 완벽한 직장을 가진 남자 ‘로크’. 하지만 하나의 사건이 그의 삶 전체를 위태롭게 바꿔버리고, 그와 주변의 삶은 한 순간에 무너지는데..","드라마,스릴러"
344,극장판 꽃이 피는 첫걸음 : 홈 스위트 홈,2014-07-17,17171000,0.0,2329,15.0,일본,일본,"(주)머스트씨무비,(주)머스트씨무비릴리징컴퍼니","반짝반짝 빛나고 싶은 16세 소녀, 과거의 16살 엄마와 만나다?!

자유분방한 엄마의 야반도주로 외할머니가 운영하는 온천여관 ‘킷스이소’로 오게 된 16세 소녀 오하나. 자신의 의지와는 상관없는 온천여관에서의 새로운 생활이 오하나의 가슴을 설레게 만들었지만 처음과는 달리 “빛나고 싶어”라고 생각했던 다짐이 킷스이소에서의 생활에 익숙해 가면서 점차 희미해져 가는 것을 느끼게 된다. 게다가 킷스이소로 실습 온 라이벌 여관의 외동딸 ‘유이나’, 언제나 열심인 조리사 견습생 ‘민코’, 동생들과 집안일까지 챙기느라 분주한 종업원 ‘나코’ 등 자신에게 주어진 자리에서 최선을 다하는 사람들의 모습은 ‘오하나’의 마음을 더욱 울적하게 만든다. 그러던 어느 날 ‘유이나’가 엉망으로 만들어 놓은 창고를 정리하던 ‘오하나’는 ‘마메 할배’가 적어놓은 낡은 업무 일지를 보게 되고 거기에서 늘 제멋대로 굴고, 자신은 도저히 이해할 수 없다고 생각했던 엄마 ‘사츠키’에 관한 내용을 읽게 되면서 16세였던 엄마 역시 자신처럼 빛나고 싶어한 적이 있었다는 사실을 알게 되는데…",애니메이션
345,모라토리움기의 다마코,2014-09-11,17270900,0.0,2273,11.0,일본,일본,오드,"사카이 다마코! 대졸, 하고 싶은 것 아무것도 없음! 고향에서 그냥 노는 중!

대학 졸업 후 고향에 돌아와 아버지 집에 머무르는 다마코! 하루 일과는 먹고 자고 만화 보기. 구직 활동은커녕 집 안에 틀어박혀 빈둥빈둥 잉여 라이프를 즐기는 다마코.
봄이 되자 면접용 옷도 사고 머리도 하는 등 약간의 의지를 보이지만, 뭔가… 이상하다? 그렇게 시간은 흐르고 어느 날 예상치 못한 사건이 벌어지게 되자 다마코는 크게 동요한다.
엉뚱하지만 사랑스런 다마코의 잉여생활은 계속될 수 있을까?",코미디
346,레커스,2014-04-03,16066000,0.0,2263,15.0,영국,영국,㈜인디스토리,"“왜 날 속였어?”
“난 당신이 행복해졌으면 좋겠어, 그것뿐이야”
결혼 후 남편의 고향으로 이사해 행복한 나날을 준비하던 데이빗(베네딕트 컴버배치)과 돈(클레어 포이) 부부. 하지만 데이빗의 동생 닉(숀 에반스)의 갑작스러운 등장으로 부부의 평화로운 일상에 균열이 시작된다. 누구보다 믿고 의지했던 남편 데이빗에게 감춰왔던 비밀이 있다는 것을 알고 혼란스러워하는 아내 돈. 데이빗은 닉을 막아보려 전전긍긍하지만, 닉은 자꾸만 돈에게 의미심장한 말들을 흘린다. 커져가는 의심과 실망에 괴로워하는 돈을 바라보며 데이빗은 아내가 자신을 떠날지도 모른다는 불안에 휩싸이는데…",멜로/로맨스
